name,dayofweek,state_pob,capacity,price,facebook_likes,youtube_suscrs,youtube_views,instagram_folls,instagram_likes,spotify_folls,spotify_pop,twitter_folls,twitter_mencs_usa,twitter_mencs,facebook_crec,youtube_crec,instagram_crec,twitter_crec,tickets
what so not,5,4533372,800,21,322671,28902,1814071,192700,14184,192080,61,85310,26,34,-0.05000,1.73200,0.72700,0.19000,88
what so not,3,38332521,2828,12.25,322671,28902,1814071,192700,14184,192080,61,85310,26,34,-0.05000,1.73200,0.72700,0.19000,71
what so not,5,38332521,1100,12.5,322671,28902,1814071,192700,14184,192080,61,85310,26,34,-0.05000,1.73200,0.72700,0.19000,100
what so not,3,6547629,953,27.5,322671,28902,1814071,192700,14184,192080,61,85310,26,34,-0.05000,1.73200,0.72700,0.19000,81
what so not,3,26448193,900,23.5,322671,28902,1814071,192700,14184,192080,61,85310,26,34,-0.05000,1.73200,0.72700,0.19000,100
what so not,2,9535483,1100,22.5,322671,28902,1814071,192700,14184,192080,61,85310,26,34,-0.05000,1.73200,0.72700,0.19000,56
what so not,4,19378102,1800,27.5,322671,28902,1814071,192700,14184,192080,61,85310,26,34,-0.05000,1.73200,0.72700,0.19000,82
whiskey myers,5,18801310,1500,17.5,208370,50628,6137202,77000,7555,93949,56,61243,24,26,1.44200,3.14400,3.50600,1.24700,38
white ford bronco,4,601723,600,22.5,11566,82,36476,3047,843,,,1905,2,2,0.36300,0.69100,0.72200,-0.10500,100
why dont we,2,6547629,2425,39.5,479564,21477,1325875,3000000,150800,673534,71,486345,258,595,0.90200,7.77400,3.33300,1.17600,100
why dont we,2,11536504,2200,30.75,479564,21477,1325875,3000000,150800,673534,71,486345,258,595,0.90200,7.77400,3.33300,1.17600,100
why dont we,3,12702379,2300,32.25,479564,21477,1325875,3000000,150800,673534,71,486345,258,595,0.90200,7.77400,3.33300,1.17600,100
wild child,6,11536504,400,16,54519,38999,8136824,18800,112,89118,56,9298,238,363,0.17200,4.38800,1.06400,0.29000,100
wild child,1,6547629,474,16.5,54519,38999,8136824,18800,112,89118,56,9298,238,363,0.17200,4.38800,1.06400,0.29000,44
wild child,1,989415,550,7.5,54519,38999,8136824,18800,112,89118,56,9298,238,363,0.17200,4.38800,1.06400,0.29000,76
wild child,5,5686986,400,15,54519,38999,8136824,18800,112,89118,56,9298,238,363,0.17200,4.38800,1.06400,0.29000,100
wild child,4,5303925,625,14,54519,38999,8136824,18800,112,89118,56,9298,238,363,0.17200,4.38800,1.06400,0.29000,100
wild kratts live,2,19378102,2807,66.25,91199,181414,8600038,9528,2253,,,11116,1,1,0.26000,5.45500,0.63000,0.12600,89
wild kratts live,6,12702379,1749,65,91199,181414,8600038,9528,2253,,,11116,1,1,0.26000,5.45500,0.63000,0.12600,100
wild kratts live,5,5303925,4984,64.75,91199,181414,8600038,9528,2253,,,11116,1,1,0.26000,5.45500,0.63000,0.12600,83
william clark green,4,3751351,1700,18,63124,2779,1601677,43400,5782,25747,51,43765,4,59,0.46900,2.83300,0.92200,0.84300,53
willie nelson,1,1826341,3915,64.25,440299,17444,655518,407900,51545,646797,66,644027,336,405,5.02800,4.18600,0.80900,0.07500,86
willie nelson,1,4339367,2302,89.5,440299,17444,655518,407900,51545,646797,66,644027,336,405,5.02800,4.18600,0.80900,0.07500,94
willie nelson,2,5988927,3031,91.75,440299,17444,655518,407900,51545,646797,66,644027,336,405,5.02800,4.18600,0.80900,0.07500,100
willie nelson,4,26448193,5295,70,440299,17444,655518,407900,51545,646797,66,644027,336,405,5.02800,4.18600,0.80900,0.07500,100
willie nile,5,12830632,304,26,25653,109,10417,1822,438,4704,25,3612,37,59,0.06200,0.96000,1.59200,0.38800,97
willie nile,4,601723,320,29.875,25653,109,10417,1822,438,4704,25,3612,37,59,0.06200,0.96000,1.59200,0.38800,79
wishbone ash,6,26448193,273,52.5,65698,781,3545,610,367,62203,39,3179,15,20,-0.05300,-1.77700,0.82000,-0.03100,100
wolf alice,5,9687653,400,10,226908,113290,5605086,170900,43993,222813,57,221225,93,180,0.10000,0.53000,0.99500,-0.45800,100
wolf alice,0,11536504,1000,21.5,226908,113290,5605086,170900,43993,222813,57,221225,93,180,0.10000,0.53000,0.99500,-0.45800,85
wolf alice,2,12702379,400,16,226908,113290,5605086,170900,43993,222813,57,221225,93,180,0.10000,0.53000,0.99500,-0.45800,65
wolf alice,1,6547629,953,21,226908,113290,5605086,170900,43993,222813,57,221225,93,180,0.10000,0.53000,0.99500,-0.45800,100
wood brothers,4,12830632,1400,31.5,80353,6434,1309480,30600,6947,90420,56,11197,7,7,0.12900,0.82600,1.30700,0.09800,100
wood brothers,4,12830632,1400,31.5,80353,6434,1309480,30600,6947,90420,56,11197,7,7,0.12900,0.82600,1.30700,0.09800,100
wood brothers,2,5303925,1516,25.75,80353,6434,1309480,30600,6947,90420,56,11197,7,7,0.12900,0.82600,1.30700,0.09800,77
world wrestling entertainment,0,9687653,11772,66.5,169433,29920049,155412615,14900000,10475,,,10086688,28,37,-3.53600,30.64100,0.67100,0.04400,100
wyclef jean,4,5303925,950,30,625,204524,6795662,472600,90,170119,69,3981573,147,191,-50.08000,0.40600,-1.52300,-0.07500,58
wyclef jean,5,6724540,1130,34.75,625,204524,6795662,472600,90,170119,69,3981573,147,191,-50.08000,0.40600,-1.52300,-0.07500,64
wye oak,4,601723,837,12.5,88419,2673,114961,11000,1534,89360,49,18636,23,27,0.02900,0.10300,2.72700,0.16600,100
wynonna and the big noise,6,18801310,650,56.5,436810,3228,395448,43400,4985,,,92640,2,2,-0.04200,0.66600,0.46100,0.02800,94
x ambassadors,1,11536504,1000,32.75,248920,761654,2211628,120900,15214,1091653,73,104060,87,90,0.04300,0.42900,0.91000,-0.07400,81
x ambassadors,5,12702379,2300,32.75,248920,761654,2211628,120900,15214,1091653,73,104060,87,90,0.04300,0.42900,0.91000,-0.07400,42
yanni,4,18801310,3947,71.82,843519,449512,30582299,152500,20222,176459,56,99223,358,995,0.15400,4.73300,0.78700,0.83800,77
yanni,2,9687653,4392,83.75,843519,449512,30582299,152500,20222,176459,56,99223,358,995,0.15400,4.73300,0.78700,0.83800,69
yanni,1,18801310,2066,91.25,843519,449512,30582299,152500,20222,176459,56,99223,358,995,0.15400,4.73300,0.78700,0.83800,100
ybn nahmir,4,9883640,800,22.5,93948,26014,3105225,2900000,956500,850869,74,102227,421,1000,3.41100,15.28900,6.89700,4.18900,100
yellow days,0,38332521,375,13.5,38105,23277,1327518,63700,40889,129849,59,10927,38,41,1.34600,2.87500,2.04100,1.48300,100
yes darling,1,6547629,300,24,3823,30,1811,1531,614,428,15,115,55,129,0.57500,1.16000,0.58800,0.00000,64
yes darling,1,6547629,300,24,3823,30,1811,1531,614,428,15,115,55,129,0.57500,1.16000,0.58800,0.00000,64
yfn lucci,5,9883640,400,24,196368,960943,280363316,2400000,217910,820400,66,461775,249,320,0.12500,0.85400,4.16700,1.11500,100
zach deputy,1,19378102,600,10.2,50605,2240,201576,10100,1119,12863,33,5259,2,2,0.15400,0.24100,0.99000,0.03800,59
zola jesus,0,38332521,425,7.5,95378,7093,946151,108400,6802,75046,42,26532,37,51,0.00100,0.38400,0.18500,0.44100,31
zola jesus,5,5029196,625,22.5,95378,7093,946151,108400,6802,75046,42,26532,37,51,0.00100,0.38400,0.18500,0.44100,57
